,ref_id,ra,dec,filename,exp_num,image_id,r50,sersic_n_gim2d,flux,flux_error,aperture_a,aperture_b,aperture_theta,psf_fwhm,filter,aperture_x,aperture_y,I_auto
268,18664,150.50938,1.947495,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,14.242,4.1967,-1.07909,2.31296,1.21389,1.17736,54.5652,1.18573,NB685,1061.58,479.757,22.224
269,35282,150.51498,1.980007,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,16.0497,1.6706,4.33873,1.91678,1.06591,0.966738,11.3708,1.18573,NB685,609.352,552.155,20.854
270,35243,150.51487,1.983035,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,16.7755,1.3226,5.57173,1.92805,1.08177,0.917049,38.0011,1.18573,NB685,566.949,550.044,21.399
271,35310,150.51258,1.977093,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,20.7825,0.58119,8.77223,1.96939,1.1915,0.89222,-4.6108,1.18573,NB685,649.478,519.198,22.054
272,35491,150.50958,1.963852,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,11.3683,2.8058,0.14952,2.03563,1.12814,1.08327,-61.4435,1.18573,NB685,833.677,479.747,21.762
273,35308,150.51084,1.975395,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,7.25924,3.6135,1.48382,1.62532,0.883242,0.834967,-39.7356,1.18573,NB685,672.764,495.221,22.282
274,33215,150.50761,1.961312,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,35.6454,0.44585,-0.981208,2.37331,1.63911,0.98461,83.7649,1.18573,NB685,868.619,452.702,21.24
275,35451,150.50483,1.967872,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,6.86425,4.3409,3.42761,1.83313,0.983748,0.932863,77.8347,1.18573,NB685,776.324,412.68,21.705
276,35033,150.51023,1.999748,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,32.8539,1.4763,1.33701,2.34786,1.55064,0.979606,27.8023,1.18573,NB685,331.314,481.826,21.588
277,35034,150.50968,1.999361,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,26.8876,1.1255,3.89652,2.2436,1.36507,0.999273,-67.044,1.18573,NB685,336.592,474.213,21.916
278,20583,150.50209,1.958886,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,30.0392,0.68776,7.98637,2.51096,1.46132,1.18709,-57.1062,1.18573,NB685,901.057,376.048,22.311
279,35168,150.50628,1.988814,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,21.408,0.70007,9.79617,2.23353,1.20916,1.11715,-29.7885,1.18573,NB685,483.637,428.846,20.795
280,18628,150.49871,1.951395,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,23.829,0.64776,7.13701,2.35408,1.27373,1.23028,-18.4933,1.18573,NB685,1004.65,330.16,21.263
281,35380,150.50226,1.971865,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,15.8783,2.0075,-0.278684,2.21807,1.27028,1.05973,62.3952,1.18573,NB685,719.838,375.998,21.777
282,35490,150.49996,1.964658,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,39.1054,0.78859,2.92816,2.77655,1.74506,1.24717,61.718,1.18573,NB685,819.936,345.212,21.88
283,20571,150.49484,1.957723,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,10.2234,0.46988,3.02948,1.69965,0.933956,0.877623,2.3727,1.18573,NB685,915.408,274.904,22.353
284,35203,150.49848,1.985565,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,23.2399,0.94135,6.12624,2.05121,1.2597,0.93542,75.1885,1.18573,NB685,526.979,320.338,21.409
